DP Calc Adjusted KF,DP Ship Hist,DP Shorts
20388.5,20377,46
20342,20336,24
21101.5,21033,274
19074.75,19066,35
11501.5,11485,66
20168,20122,184
22376.25,22317,237
20748.25,20727,85
36220,35957,1052
22406.33,22371.08,141
21096.25,21067,117
26021,25991,120
23244.25,23116,513
16276.25,16104,689
20724.25,20667,229
23123,23109,56
20172.25,20172,1
22558.75,22537,87
16346.25,16338,33
19371.5,19371,2
22487.25,22487,1
21104.5,21104,2
24266.5,24265,6
23537.75,23537,3
20373.75,20332,167
18991.5,18980,46
15481.25,15481,1
19997,19946,204
18806.25,18805,5
17315,17264,204
16714,16675,156
16078.5,16042,146
18040.75,18020,83
23229.25,23097,529
15421.5,15419,10
17907.5,17906,6
19601.75,19573,115
19888.5,19886,10
23566.25,23304,1049
16358.25,16296,249
28596.5,28553,174
15012.5,14920,370
16544.75,16526,75
17821,17707,456
30668.25,30326,1369
20552.75,20336,867
27445.5,27403,170
22101.25,22046,221
49762.75,49532,923
13704,13661,172
13657,13657,0
16691,16691,0
16624,16624,0
19124,19124,0
20250,20250,0
17074,17074,0
15335,15335,0
21697,21697,0
40860.25,40779,325
17634.75,17578,227
12046,12046,0
15679.5,15660,78
33950.5,33836,458
19369,19369,0
24245,24214,124
66355.25,66268,349
9540.25,9393,589
15061,15061,0
13538.75,13368,683
14428.75,14355,295
10982.5,10978,18
18581.5,18581,2
22951.75,22949,11
18784,18784,0
16169.5,16163,26
16897.5,16894,14
17247.67,17213.92,135
19588,19588,0
17714.75,17685,119
22577,22577,0
20936,20936,0
20838,20838,0
26624,26624,0
21972.5,21970,10
26339.5,26245,378
29350.75,29159,767
15673,15658,60
12335,12315,80
11733.5,11717,66
11790,11790,0
19925,19921,16
15415.25,15384,125
17287,17287,0
16262,16262,0
25639,25639,0
19085.25,19082,13
30985,30985,0
38378,38378,0
42854.75,42686,675
14579.5,14450,518
17841,17841,0
15339,15339,0
30611,30611,0
8873,8873,0
14770,14770,0
19709,19709,0
27407,27407,0
14464,14464,0
11947,11947,0
11880,11880,0
14732,14731,4
12725,12725,0
14028,14027,4
17527.75,17527,3
17904.5,17892,50
17074.25,17042,129
9843.75,9823,83
12398,12378,80
15232.5,15196,146
8565.75,8491,299
8770.75,8740,123
14621,14621,0
16093,16093,0
16303.25,16281,89
18121.75,18029,371
21380.75,21348,131
11735.25,11652,333
13158.25,13146,49
8234.75,8234,3
4942,4942,0
5203,5191,48
7225.25,7214,45
9743,9743,0
13294,13294,0
15794,15792,8
15002.75,14997,23
8553,8553,0
11691.5,11689,10
9968,9968,0
7323,7323,0
9534.5,9533,6
6822.5,6821,6
9166.75,9166,3
15838,15835,12
16775.5,16769,26
14870.5,14860,42
19953.5,19953,2
16280,16280,0
35862.5,35862,2
18162.5,18162,2
10112.25,10112,1
10095,10095,0
9999,9999,0
8302,8302,0
